title,artists,genres
Dom Corleo,"2seater, dom corleo","dark plugg, pluggnb"
Raver,"ken carson, destroy lonely",
supervillian,playboi carti,"atl hip hop, plugg, pluggnb, rap"
Southside (Prod. Swvsh),duwap kaine,"dark plugg, pluggnb, vapor trap"
Prove Sum (prod Lj),summrs,"glitchcore, plugg"
Buy It,lil uzi vert,"melodic rap, philly rap, rap"
Sum Wan Right,summrs,"glitchcore, plugg"
rocks,slump6s,pluggnb
basic (prod. codylemont+benjicold+idontkry) *VIDEOIN DESC*,"surge @surgebck, surge",
R.I.P Virgil ft dc the don [prod bhristo],onlybino!,pluggnb
ran freestyle,tana,['hyperpop francais']
BitchCallMeCaptainMorgan,xxxtentacion,"emo rap, miami hip hop"
love scammin (prod wifi),summrs,"glitchcore, plugg"
RUN (ft. tana ⁂ slump6s) [prod. glorytee ⁂ maajins ⁂ rio ⁂ noahmejia],"slump6s, jonoftf",pluggnb
moon {prod aro x simon} [VID IN DESCRIPTION],govanni! (ig @whereisvanni),
BXDIESDRXPPIN,texakotyler,
hype (feat. FISH),dom corleo,"dark plugg, pluggnb"
stop the act,lucki,plugg
HIBACHI (prod. F1LTHY) [00babi_Mix],otl beezy,
switch (FULL Version),"lilcandypaint, lilcandypaint *candypaint",
Charger,ame,
feel alive,hardrock,
bliss ft skaiwater,slump6s,pluggnb
Hang Around Felons (Birds Fly Together),summrs,"glitchcore, plugg"
Chamberlain,luvbanz,
GTA,lucki,plugg
Balance,earl sweatshirt,"experimental hip hop, hip hop, rap, underground hip hop"
$hark Attack,oddy nuff da snow leopard,
Fetti,"playboi carti, da$h, dah, maxo","atl hip hop, plugg, pluggnb, rap"
right now with jaydes,slump6s,pluggnb
hardcore drugs (prod.Xaynor),hardrock,
KK,rich amiri,
nation,brockhampton,"boy band, rap"
Immortal,playboi carti,"atl hip hop, plugg, pluggnb, rap"
LOTL,glokk40spaz,dark plugg
ssgkobe- Fair Play,"ssgkobe, wockk archives",['pluggnb']
Takyon (Death Yon),death grips,"experimental hip hop, industrial hip hop"
RICH IN A PANDEMIC,gunna,"atl hip hop, melodic rap, rap, trap"
Much Money (feat. Freddie Gibbs),kenny mason,"atl hip hop, indie hip hop"
eye 2 eye (certified kaine),duwap kaine,"dark plugg, pluggnb, vapor trap"
paranoia,glokk40spaz,dark plugg
welcome to the hell zone,corbin,cloud rap
On Deck,acid souljah,['cloud rap']
One Day,playboi carti,"atl hip hop, plugg, pluggnb, rap"
