title,release_date,artists,album,popularity,genres,duration,explicit,track_id,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,lyrics,tokens,descriptors
Roaches,2018-01-12,Maxo Kream,Punken,0,"hip hop, houston rap, melodic rap, rap, southern hip hop, trap, underground hip hop, vapor trap",261410,True,3ARkzT2q8tloyw9thaAVZ3,['6xS5PpBWaVYraexEkEjjXv'],0.582,0.142,82.016,0.336,0.593,0.0,4,0.795,6,-6.442,0.329,1,my cereal airforce knockoffs with the gucci print material way before the iphones twitter gram socials im talkin bout nextel chirps and boost mobiles back when the face tatts was for og killas now im seein tear drops on you soundcloud niggas remember back when music had content and metaphors way before the mumble nonsense and poppin handlebars verse 1 all these rappers junkies talkin like they dope dealers one song a scammer the next song they killers first time i shot the gun the neighbors called the people i was watchin 12 search for shells like easter thats around the time they shot my daddy for the rollie round the same time ai lost to kobe platinum fubu summers rockin iceberg in the winter gold bag hermes aint no sprewell spinners fuckin up computers usin limewire or bearshare bootleggin boostin sellin cds at the daycare savin up guala bean bag for my stash spot momma still ask me how the fuck i get that xbox round the first time i saw my uncle smokin crack rock in the flinstones smokin pebbles like its bedrock round the same time my pops was scammin on that laptop still remember when my uncle sydney took that headshot i was tryna get them jordan 17 deadstocks used to hoop dream pushin rock on the blacktop started home invadin kickin combination padlock puttin crack rock in the figure4 leg lock i was hella young watchin triple h  ric flair bust my head open play fightin with a steel chair tryna be a wrestler almost put me in a wheelchair thankful for that medicare welfare healthcare chorus remember roaches in my ashtray and roaches in my cereal airforce knockoffs with the gucci print material way before the iphones twitter gram socials im talkin bout nextel chirps and boost mobiles back when a face tat was for og killas now im seein tear drops on you soundcloud niggas remember back when music had content and metaphors way before the mumble nonsense and poppin handlebars verse 2 nowadays i cant even walk in the store without these crazyass fans and boppinass hoes back in 04 a hoe said i wouldnt blow now every show i go 3 or 4 give me dome i was up in vegas at the mayweather party then my mama call me bout hurricane harvey said the house got flooded water covered up the sofa impala range rover she need me to come over nowhere near sober it was fuckin up my night like they gon be alright tomorrow book a flight woke up 40 missed calls she was callin all night said theres no more food and lights and she been fightin for her life told toby book the plane i gotta be there by tonight but all this hurricane rain made the airport cancel flights im like what the fuck how im thinkin like wow prayin that she dont drown dear lord just get her out she worked her whole life to move the family out the hood just to lose everything she had in the flood donald trump and red cross actin like some hoes people drownin in their homes cause they couldnt get a boat pops got a bad heart last year he had a stroke in his bed off meds couldnt swim sink or float on the roof for three days before rescue by fema 12 years later same day as katrina if you was in my shoes you would prolly be stressin but sometimes god he will bless you and test you every day i say my grace because i coulda lost my people i still got cases me and my brothers fightin rico 600k for the bail bonds people another 100k i pray my lawyer got the cheat code organized crime dope and money launder five,776,"Despair, Addiction, Recklessness, Self-destructiveness, Isolation, Nihilism, Materialism, Hedonism, Loneliness, Fatalism"
GHOST,2018-06-22,"Jaden, Christian Rich",GHOST,24,"hip hop, pop, rap",129733,False,5BDFxKEZ4HBHcIiv08MWWR,"['0xOeVMOz2fVg5BJY3N6akT', '7cAlvWK5rgMmJ37j7woN8l']",0.545,0.248,148.029,0.163,0.132,0.0667,4,0.783,1,-6.638,0.251,1,you spent too much cash cash screw your goyard bags i knew that you wouldnt last no way im in physics class physics i knew that you wouldnt ask ask she got too much shh what what im finna do with all that damn talked to elon last week told him my whip too fast hunnid twenty on the dash yeah i hope that i never crash no msfts on the map what drop hits thats that hits to hit me with the pass swish niggas wish i never rapped never chorus play this shit in the club for me for me for me for me cause if you in there then ill be the one that you never see verse 2 like jeez let me go put on my cleats the way that i get up and run through the streets streets paris like bon apptit they saw us and went to go call the police woo yeah damn just put a hydrogen whip on the lease yeah tryna make sure that i leave a good world for my niece ayy thats just me thats just me we dont need you on the team we pay too many fees pay too many fees they told me travel light we aint going overseas woo woo its just one night ima bring the whole fleet with me lets go lets go chorus play this shit in the club for me for me for me for me cause if you in there then ill be the one you never see verse 3 im ghost iller than most iller than most ive been behind the scenes ive been watching the ropes im on the ropes she put her hand on my neck she on the slopes ice ice why you put so much space in the flow lets go lets go lets go lets go when i wanna grow i listen to hov take notes look at the case close it open the doors look at my neck look at my wrist frozen look at my pants dripping swag know that you stole it you might also likeoutro play this shit in the club for,390,"Defiance, Loyalty, Power, Hedonism, Self-Reflection, Materialism, Resilience, Bravado, Introspection, Pride"
Imaginary Places,2002-09-24,BUSDRIVER,Temporary Forever,0,"abstract hip hop, alternative hip hop, escape room, underground rap",195000,True,2OnzrJ0JDXctZ8LQYmgEbs,['43SXnO2N4X024u3l9MfvXD'],0.629,0.095,157.973,0.29,0.156,0.0147,4,0.562,7,-10.951,0.786,1,your hand when you die and to show you around imaginary places put money lumps in my bloody stump and i will have a smile thats a perfect circle die in your sleep with the sky at your feet ill shoot you when youre happy on the day that you will find peace how do you do i dont know im okay every person i know is a secret service agent cause im accused of lewd conduct stole the heart of a prude prom slut and they got the warrant for my arrest to put me in the loony bin the funny farm because of what i did verse 2 busdriver but im just here to hold your hand when you die there is not a single person who can do it better no needle skippin in my ecosystem but in the audience may be an evil christian hmo how i hate him so but they charge me for a halo but im on a scavenger hunt for a lavender chunk of the sky maybe ill replace it with a mudpie i play dead songs on the silk screen buy my shirt it is a killed dream it is known to lead the way to the stairwell to gods administrative office and a final farewell verse 3 busdriver im just here to hold your hand when you die and to give your assault rifle a banana clip glow in the dark when i stroll in the park givin everybody informative pamphlets no sign of life for as far as i can see everybodys just charred meat up in the car seat eat shit and die to the secret spy cause i have a funny feeling that im being watched 24hour surveillance money or power are ailments but i send the medical supplies and the shipping and the handling is way too much cause im from the afterlife you might also likeverse 4 busdriver im just here to hold your hand when you die its like i put a cough drop right upon your soft spot make martian clothes out of your garden hose turn into a deadly gas blowin through the air duct shes not in love but i thought that she was she doesnt love me cause i dont have the right haircut i misunderstood i should fix under the hood but i will not apologize for anything that ive said my name is mr busdriver this is the producer paris we are not embarrassed to admit that we will perish in a pit of our own imaginary place bridge busdriver kids if you want to piss off your parents show interest in the arts kids if you really want to piss off your parents buy real estate in an imaginary place oh yes okay okay alright yeah now move cuts and scratches dstyles interlude busdriver i gotta do my shout outs now peace to verse 5 busdriver im just here to hold your hand when you die paris and daddy kev theyll also be there too just here to hold your hand when you die of mexican descent and mums the word will help you just here to hold your hand when you die freestyle fellowship and abstract rude will help you im just here to hold your hand when you die chillin villain empire and hip hop kclan too outro im just here to hold your hand to die im just here to hold your hand when,625,"Self-aggrandizement, Fame-seeking, Materialism, Bravado, Defiance, Ambition, Creativity, Nonconformity, Resilience, Rebellion"
Rambo,2018-02-02,Ski Mask The Slump God,You Will Regret (Reloaded),44,"miami hip hop, rap",109653,True,6xyYSp2HCpeEzG5G4qir76,['2rhFzFmezpnW82MNqEKVry'],0.598,0.0703,131.993,0.061,0.0594,0.0,4,0.728,8,-6.68,0.492,1,it get it get it water get it get it get it get it okay huh bitch okay like rambo like rambo like rambo this rambo this rambo this rambo no rambo no rambo like rambo like rambo like rambo huh huh huh huh huh huh huh chorus no rambo no rambo like rambo like rambo like rambo these niggas they pussies they tango i swear im an mc no hammer no ammo like rambo like rambo like rambo like rambo these niggas they pussies they tango i swear im an mc no hammer okay verse if you ever take shot at me check my peacock peacoat as if the same fuckin color as rabies weasel okay you vool but dont comprehend my lingo like im mandingo when in the pussy i tango matter of fact whip that pussy like ddddjango then tell her give me head like the hat made from kangol i had to cop me one of them fucking colored pencils no ammo but im still killing beats like rambo like rambo like rambo rambo these niggas flipflop like a sandal like a sandal only live for a scent like a candle ima light they ass up like earths mantle ayy no hannah montana but bitch i look pretty on the camera bathin ape on i dont eat bananas rep the gang no back pocket bandanna kiddin me thinkin that you are not a piccadilly racks in my pocket look like some pads without the lilly smoking presidential like the name of it is hillary that broad she say she feel my energy ooh whip my dick out then she kungfu grip that know how im rockin like slipknot kryptonite in my wristwatch you might also likechorus no rambo no rambo like rambo like rambo like rambo these niggas they pussies they tango i swear im an mc no hammer no ammo like rambo like rambo like rambo like rambo these niggas they pussies,417,"Nostalgia, Ambition, Hedonism, Materialism, Confidence, Resilience, Maturity, Braggadocio, Rebellion, Perseverance."
Bird Is The Word,2018-02-02,Ski Mask The Slump God,You Will Regret (Reloaded),45,"miami hip hop, rap",238853,True,5Dnrmze6QgKbhygpR2u5U9,['2rhFzFmezpnW82MNqEKVry'],0.53,0.0772,120.015,0.22,0.468,0.0,4,0.854,0,-6.973,0.562,1,think outside the box im flippin the bird the bird is the word huh the bird is the word flippin the bird the bird is the word water i think outside the ayy ayy ayy ayy ayy we love kashaka yuh yuh yuh yuh yuh yuh let me give it to em yuh yuh yuh yuh yuh yuh ayy wet you ready fugi you ready okay okay ayy chorus flippin the bird the bird is the word im flippin the bird the bird is the word im flippin that bird the police are nerds i think outside the box flippin the bird the police are nerds im flippin the bird the bird is the word im flippin the bird im flippin the bird i think outside the box i think outside the box i think outside the box flippin the bird the police are nerds i think outside the box flippin the bird the bird is the word im flippin the bird the bird is the word im flippin the bird the bird is the word i think outside the box i think outside the bridge i think outside the box box i think outside the box outside the box flippin the bird the police are nerds i think outside the box brrr i think outside i think outside water i think outside i think outside look at it look at it ayy huh you might also likeverse 1 you sweet like cannoli or maybe fruit rollup my pockets allergic that why they is swollen cause moneys tucked in em i just might go bowling i think outside the box i think outside my dick get a ollie when she ride like trolley and all that she off is water mixed with molly i just want a cracker like parrot named polly i think outside the box uh uh my flow crazy like a crockpot yours is uneven like rock tops rrrock rock frequently want suck my cock top cccock cock im gonna water her crops you can catch me flippin the bird off to my grandpa my pockets look like it got cancer cancer gears of war i got a retro lancer lancer put the bayonet in em he turned dancer callin yo bitch my dear like her name prancer and i know every damn time she gon answer answer answer answer huh chorus flippin the bird the bird is the word im flippin the bird the bird is the word im flippin that bird the police are nerds i think outside the box flippin the bird the police are nerds im flippin the bird the bird is the word im flippin the bird im flippin the bird i think outside the box i think outside the box i think outside the box yuh flippin the bird the police are nerds i think outside the box i think outside flippin the bird the bird is the word i think outside im flippin the bird the bird is the word i think outside im flippin the bird the bird is the word i think outside the box im gone bridge you is inside your box you is inside your box fuck my head hurts flippin the bird i think outside the box fuck the bullshit fuck the police fuck fuck 12 i think outs side side i think outs side side i think out did you know hahaha ayy verse 2 there is a snake its on my clothes know that it gucci no ice cream cone like she et make her phone home i think outside the box her mouth like some tentacles suction cupping all up on my genitals cause your aesthetic wrinkled like testicles mustve just got high off the pill that they sell at edm rave festivals my flow hit hard like they just took edibles i done stepped up i had to flex how can you tell could be my new bitch or my ex dont skate my line cause i know that im next i think outside the box im at your bitch you a trex im a jamaican i know that you vex when in your bitch raincoat on chest thats how much she get wet ayy chorus ayy flippin the bird the bird is the word im flippin the bird the bird is the word im flippin that bird the police are nerds i think outside the box flippin the bird the police are nerds im flippin the bird the bird is the word im flippin the bird im flippin the bird i think outside the box i think outside the box i think outside the box flippin the bird the police are nerds i think outside the box flippin the bird the bird is the word im flippin the bird the bird is the word im flippin the bird,961,"Arrogance, Materialism, Disdain, Hedonism, Disloyalty, Cynicism, Nonchalance, Escapism, Self-indulgence, Drug use"
lil jeff hardy,2017-08-18,Wifisfuneral,Boy Who Cried Wolf,0,"dark trap, emo rap, florida rap, miami hip hop, underground hip hop, vapor trap",120058,True,5doYnX4sOdOslY8BNjFSLg,['1vb1XqzyNMQ16BqbxRz5BV'],0.739,0.195,139.904,0.434,0.0472,0.0,4,0.852,5,-6.015,0.437,0,fucking concert you trying to get lit youre probably under the influence of some drugs cause you know what it is right and basically the motherfucking rapper whose on stage does a fucking cannonball or some type of swanton bomb in to your section of the crowd and niggas giving you a miguel legdrop hes kicking you in the neck hes kicking you in the face what the fuck are you going to do just keep singing along intro wifisfuneral walk up in this bitch im flexed up im next up if you shoot protect your chest bruh dont act up diamonds looking like mega man i blast off pour eight interlude ayy i feel this percocet in my system cris dinero haha yeah ayy yeah ayy shit fuck yuh verse 1 ay walk up in this bitch im flexed up im next up if you shoot protect your chest bruh dont act up diamonds looking like mega man i blast off pour eight of the tech on my ass dawg ay okay like thick lil shorty tell me what it do might have to check your ass like a nike swoosh on my ps and qs smoke a whole ounce to the face im a demon ooh you might need me too they dont know zay from the bridge i might up it it is what it is what it aint bitch lil whore swallow my jitts bitch payback strong i got a k with a lip walk up in your section take over vip 30 bands 20 bills on my hip im like fuck it i fuck her sister and cousin bitch you gon top off my brother then top off my cousin just fucking and sucking and leave no discussion i do the dope hoe you smelling like onions just fucking and sucking and leave no discussion i do the dope hoe you smelling like onions you might also likehook bring the beat like bring that back bring the beat back bring that back bring the beat back bring that back bring the beat back bring that back bring the beat back bring that back bring the beat back bring that back bring the beat back,407,"Rebellion, Nonconformity, Materialism, Self-Absorption, Resilience, Disdain, Disconnection, Defiance, Hedonism, Confidence."
Souk Eye,2018-06-29,Gorillaz,The Now Now,61,alternative hip hop,274760,False,4fjzDf54eBNOlW45mNe14U,['3AA28KZvwAUcZuOKwyblJQ'],0.853,0.156,124.122,0.031,0.43,0.711,4,0.64,2,-7.996,0.829,0,me twilight waiting on the planet to turn to me dark side if loving yous a felony now then im a renegade riding trying to find tomorrow aint easy til you dive in swimming pools verse 2 why you rolling waves over me now thats all i need dreaming waiting on la to come find me be forgiven ill be a regular guy for you i never said id do that why you looking so beautiful to me now when you so sad chorus i will always think about you thats why im calling you back on my way through verse 3 i wanna stay with you for a long time i wanna be stone love i wanna see la in your eyes when im leaving with your love chorus i will always think about you thats why im calling you back cause i got to run soon outro i will always think about you thats why im calling you back on my way throughsee,171,"Alienation, Ambition, Self-doubt, Materialism, Escapism, Nostalgia, Frustration, Resilience, Individuality"
Bambi,2017-02-17,Jidenna,The Chief,52,ghanaian hip hop,250000,False,5KWV7S3osWbeOMPHCeWVyK,['4TsHKU8l8Wq7n7OPVikirn'],0.623,0.15,105.045,0.0285,0.109,0.0,4,0.748,5,-5.08,0.21,1,my dear ahh bam bambi my dear i want you here ahh bambambi but dont get too near for theres lions beware ahh bambambi verse 1 oh bambi i wont lie if i werent in this spider web of mine if grandfather never had seven wives then darling you would be love of my life oh bambi its my design to run the jungle i must be a lion or be a cheetah but neither is fine dont wanna hurt my dear love of my life chorus bambi bambi ahh bambambi my dear my dear my dear ahh bambambi my dear i want you here ahh bambambi but dont get too near for theres lions beware ahh bambambi verse 2 sometimes i hide when you facetime i text you back a lie cause im afraid to look back in your eyes im terrified you were love of my life the women among the tribe they will be jealous of this lullaby ill drink alone in my hotel and cry cause now they know you are love of my life chorus bambi bambi ahh bambambi my dear my dear my dear ahh bambambi my dear i want you here ahh bambambi but dont get too near for theres lions beware ahh bambambi verse 3 i wish that we were forever young i always knew that this day would come the fork in the road where i cannot run between loving many and loving one i got the wedding invitation bambi im happy that he wants to make a family but i cannot promise i wont run up in the church there screamin your name bambi no one can take you from me bambi no one can take you from me bambi no one can take you from me bambi you might also likechorus bambi bambi ahh bambambi my dear my dear my dear ahh bambambi my dear i want you here ahh bambambi but dont get too near for theres lions beware ahh bambambi i just wanna see my baby thats my bambi thats my dear i just wanna see my baby thats my bambi thats my dear i just wanna see my baby thats my bambi thats my dear i just,429,"Rebellion, Provocation, Nonconformity, Vulgarity, Aggression, Narcissism, Drug use, Hypersexuality, Boasting, Defiance"
Crying (feat. Lil Peep),2017-10-31,"Yunggoth✰, Lil Peep",Crying (feat. Lil Peep),56,"dark trap, emo rap, underground hip hop, emo rap, lgbtq+ hip hop",145640,True,5giCoaf8Yuk9DsJtdijEGX,"['2Wpsydr0xZekaBFNQ0OSKd', '2kCcBybjl3SAtIcwdWpUe3']",0.47,0.135,133.026,0.0822,0.597,0.0,3,0.526,4,-11.936,0.513,0,start cryin gothboiclique shawty wanna die but i know that bitch is lyin flexed up dyin with my clique im cryin hollywood lyin hollywood lyin i just wanna flex on my wrist start a riot lies on the ring baby yeah i just wanna ride til my cars on fire really sorry i think you should retire verse lil peep lie me down in bed got my side bitch cryin facetime horse head tell him that im dyin even though im lyin i might not be lyin drugs that im mixin you dont wanna try it lie me down in bed got my side bitch cryin lie me down in bed got my side bitch cryin main bitch wildin pussy in my diet lie me down in bed got my side bitch cryin tryin i dont even think about her anymore i guess i got what i wanted yeah i dont even dream about her every night cant you tell that im lyin i was in the background every time now im in the middle of the spotlight everything you said to me was at the perfect time babygirl you know its not right not right its not right chorus yunggoth gave her one call now this bitch start cryin shawty wanna die but i know that bitch is lyin flexed up dyin with my clique im cryin hollywood lyin hollywood lyin i just wanna flex on my wrist start a riot lies on the ring baby yeah i just wanna ride til my cars on fire,299,"Nostalgia, Regret, Betrayal, Heartbreak, Self-reflection, Longing, Bittersweet, Vulnerability, Reminiscence"
FUCK,2017-05-25,$uicideboy$,KILL YOURSELF Part XIV: The Vulture Saga,0,"dark trap, new orleans rap, underground hip hop",139688,True,2Oi9VBKJOtX1QPpxI0PVat,['1VPmR4DJC1PlOtd0IADAO0'],0.72,0.804,143.999,0.466,0.0159,0.00177,4,0.789,6,-7.062,0.547,0,pick em up let em dry east side 59 with the choppers out the ride mommas cry kids die second line vietnam testify crucified have your family by your side full of fuck shit double my cup with mud bitch sluts wanna suck dick hit em with the drop kick bitch your pussy nonsense demons with the glock grip uicidal cult shit love to watch the blood drip hook lil remains dead man walking ayy yah aye dead man walking ayy yah aye dead man walking ayy yah aye dead man walking ayy yah aye dead man walking ayy yah aye dead man walking ayy yah aye verse 2 yung mutt rather be dead than bored settle the score let the metal pour right onto the floor fuck your brain you fucking whore fuck your chain you slave i left the bloodstains on the door blade made of iron ore made stains right on the shore washed away the waves took it north but now i try to stay warm catch another flight and now im back on tour cant relax me motherfucking sacrcur used to make shit pop like fucking kettle corn hook yung mutt im just a dead man walking yeah im just a dead man walking yeah im just a dead man walking yeah im just a dead man walking yeah im just a dead man walking yeah,268,"Despair, Betrayal, Narcissism, Self-Destructiveness, Drug Use, Emotional Manipulation, Anguish, Recklessness, Self-Pity"
Baby I'm Bleeding,2018-01-19,JPEGMAFIA,Veteran,0,"alternative hip hop, experimental hip hop, hip hop, industrial hip hop, rap",154043,True,24xeulvirnzsmZpmyeruCz,['6yJ6QQ3Y5l0s0tn7b0arrO'],0.845,0.108,171.496,0.279,0.216,0.0,4,0.602,1,-2.854,0.826,1,fuck is fuck alright alright alright shit you think you know me ah fuck uh uh sstop its over uh verse 1 peggy where you been at getting all this promo when it comes to money bet these niggas is a noshow ive been out in bedstuy chilling with my feet up laughing at these soundcloud niggas trying to be us when i say us bet i dont mean no fucking crew peggy been a solo act since looney tunes and goofy troops catch me out in barksdale counting fettuccine while you pussy crackers still trying to pass pt ooh im up in brownsville strapped with a kimber all you yuppie purses getting swiped like tinder now im at the white house looking for your president hop out the van pointing guns at your residence ooh im up in queens now showing yall a body hoping that you pussy ass cs try and find me chains on my body looking like a rapper acting like a slave when im gunning for my masters nigga break 1 fuck these niggas buck these niggas yeah verse 2 its ironic you pressed for a cooking its ironic you talk jail time but you aint never seen no central booking yeah its ironic you hang with a nigga that beat women and have the nerve to call yourself girl pusher wow break 2 you aint real youre a jarrod ill show you how i really feel yah white boy better put his hands up im ready verse 3 and im getting wilder shoutout to deontay country niggas booming peggy im the new beyonc devil on my entre cut like dante promise i will never go blonde like ka hol up promise i will never go blonde like kanye got so many styles they should call me peggy aj when i hit the stage niggas know its a payday tell your bitch come here like i work,378,"Existentialism, Surrealism, Dark Humor, Mortality, Isolation, Paranoia, Nonconformity, Absurdity, Support, Community"
EdEddnEddy,2017-03-10,JID,The Never Story,61,"hip hop, rap",140511,True,4vmqU3xlzuhxtaeXrtAX1F,['6U3ybJ9UHNKEdsH7ktGBZ7'],0.421,0.389,157.964,0.421,0.141,0.00707,4,0.769,0,-9.6,0.326,1,ayy ayy nigga snapchat niggas twisted up real tight im with my motherfucking brothers nigga hahahahah they was representing for trump tight but we in this motherfucker real tight nigga aint left everything right nigga im tight nigga fuck you talkin about bars forever nigga intro bars bars me and my two okay me and my two alright me and my okay verse me and my two niggas we like ed edd n eddy im zack you ac that jessie and kelly i pull up to your hood just let me know when you ready im rolling up this dub finna face it beheaded mmhmm hold on chill out please give me a second im drowsy off a xan nigga legs is spaghetti cut all of the bullshit nigga chop the confetti you ready im ready you ready im ready uh alright never sell weed cause i smoke it too much i fuck up the pack i dont fuck with the sack and i mean the bread come quick he told me bring him three hundred i brought him excuses and like two hundred and something i mean most of yall niggas love drugs like me love me like drugs bitch i might be yo love light bulb turn on lights please turn off your cool i mean i might freeze i mean hold on relax please give me a chance i was moving too fast i aint hear what you said we was celebrating life tryna get to the fetti but me and my two niggas we like ed edd n eddy damn you might also likeoutro ed edd n eddy ayy ed edd n eddy uh me and my two niggas be like ed edd n eddy be like ed edd n eddy uh ed edd n eddy yeah me and my two niggas be like ed edd n eddy nigga ed edd n eddy ed edd n eddy me and my two niggas be like ed edd n eddy ed edd n eddy ed edd n eddy me and,422,"Materialism, Bravado, Self-Confidence, Ambition, Rebellion, Hedonism, Success, Individualism, Coolness, Perseverance."
Kyoto,2013-12-10,Yung Lean,Kyoto,0,"psychedelic hip hop, underground hip hop",270000,True,2djY65hifu2a4R2WqcXqKL,['67lytN32YpUxiSeWlKfHJ3'],0.716,0.113,116.914,0.207,0.22,2.54e-06,4,0.623,11,-7.449,0.203,0,ima make mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shallow verse 1 i got an empire of emotion squad see me cruisin cruisin in my go kart im war ho im warhol im wario when im in mario kart topping the charts ace in my cards choppa my locka when im writing these bars koka kola veins im insane trip through memory lane out in narashino and i see my own white shadows a tad too close rad with a bad diagnose cokefilled nose too weird for them other fuckboys catch lean and sadboys out in europe sippin cristal im smoking loud with my lost boys all this money dont make me sad though rubber bands in my pants bro dont close your eyes and lean back though yall aint ready for the lean attack though lean lean lean youngin with my team pumpin rza eating pizza man im living my dreams living my dreams fucked your bitch in the chorus do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shut out do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shallow verse 2 my life comprehended its not a lie im depended on my team when i send it i spit fire im an element im everything youre irrelevant tatake it easy yeah we getting it bbc pants yeah im getting rich all this love im melting it dont let me down im not meant for it if you ask me i might come for it ill take you back to the rainforest my heart and soul yeah you tore it i dont want to be here my lifes more of it theres more of it sad boys see me in the club with it tatted on my chest sad boys see me in the cut with it tatted on my chest see see me on the bus blowing sesh nothing less we the best fuck the rest water in my lungs finna quest i wont hit the earth fire water dirt too turnt too burnt make mistakes i guess ill never learn see see see thats my firm nike nike on my shirt bubbles bubbles blowing bubbles but i guess theyll never burst emempire of my state of mind ima do me ima make her mine i say fuck the shine i say fuck the shine bitch i grind bitch i grind im hard to find you might also likechorus do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shut out do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shut out do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up in my own mind my thoughts will never be shut out do me ima do me ima make her mine ima make her mine i fuck the shine i said fuck the shine bitch i grind bitch i grind yung lean swervin in see me fucked up see me swervin through they want me locked up been locked up,835,"Self-aggrandizement, Materialism, Bravado, Disdain, Nonconformity, Independence, Confidence, Ambition, Disloyalty, Recklessness"
Crash Bandicoot,2018-07-06,Yung Lean,Crash Bandicoot & Ghostface / Shyguy,0,"psychedelic hip hop, underground hip hop",131005,False,7mZvXwILIdsF7if7ISw6J6,['67lytN32YpUxiSeWlKfHJ3'],0.597,0.105,142.957,0.0707,0.362,0.0,4,0.849,9,-5.184,0.602,0,all the kinds of friends weve got over here at fosters chorus crash bandicoot bands my hands trash sandy road skrrt the land crash bandicoot bands my hands trash sandy road skrrt the land crash bandicoot bands my hands trash sandy road skrrt the land crash bandicoot bands my hands trash sandy road skrrt the land verse 1 black antidote im on ten im in the parking lot wheres my man im off a xan off a juice off a bean trapped in our ways aint nobody live free like sherlock holmes i sneak up on ya easy i dont like trouble but it sure likes me in a french garden on rocks fell asleep moon by my head and the sun at my feet i tried to paint but i got a disease you and me together could be something free got a lot of money but aint shit free suckers everywhere but bitch im sucker free serpentine serpentine snakes in columbine four cups two cups im swervin outta mind three girls two nights im seein stars tonight been in this shit so long i feel traumatised bridge whip bipolar and my flow schizophrenic diagnosed bipolar but i made it through the atlantic my whip bipolar and my flow schizophrenic diagnosed bipolar but i made it through the atlantic get cross the damn atlantic you wanna shake my hand bitch i got all this money bet that you dont understand it you might also likeverse 2 drop top candlelight cop drop samurai im sippin lean mixed with bubbly polod down lean but i dont play no rugby dont play no games with me cause i play ugly my team medieval our helmets are rusty helmut lang issey miyake it must be cant take you seriously nah you look suspect i wanna fuck your bones out till you love me connection been going down lately its nothing dont know who to call today its summer so im chilling straight on my porch sipping lemonade got coke and whiskey hibernate snakes in desert in my face shotgun and a issey case miyake and yohji on my pants and diamonds in my face dont know who to call today its summer so im chilling straight on my porch sipping lemonade got coke and whiskey hibernate snakes in desert in my face shotgun and a issey case miyake and yohji on my pants and diamonds in my face,477,"Anarchy, Angst, Self-Doubt, Provocation, Irreverence, Violence, Controversy, Self-Loathing, Rebellion, Nonconformity."
Agony,2017-11-10,Yung Lean,Stranger,0,"psychedelic hip hop, underground hip hop",214173,False,1Wj9ZhqrnbLal0Iyqk6QH1,['67lytN32YpUxiSeWlKfHJ3'],0.166,0.103,99.891,0.0335,0.942,0.0069,4,0.578,4,-17.194,0.318,1,im chasing witches in the street im the last page in your book cant write a song only do hooks watching horses in the fields the dragon rests in agony when im afraid i lose my mind its fine it happens all the time when im afraid i lose my mind its fine it happens all the time chorus isolation caved in i adore you the sound of your skin verse 2 so many lies that i found blood heaven i stick to the ground so many times i realized what i seek for is right in front of my eyes im alone in a hole in the ground a theatre of dogs is still around my furniture has come alive im dancing with a candlestick tonight flying kites raven outside my window smiles with fright chorus isolation caved in i adore you the sound of your skin isolation caved in i adore you the sound of your skin isolation caved in i,171,"Alienation, Aggression, Superiority, Isolation, Braggadocio, Skepticism, Loneliness, Cynicism, Ambiguity"
