title,artists,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Buildings,"yung lean, thaiboy digital, bladee, yung lean / thaiboy digital / bladee","glitchcore, psychedelic hip hop, underground hip hop, cloud rap, drain",0.480035662651062,0.3088836669921875,3.787433385848999,-6.274173736572266,0.3601932227611542,0.1599721908569336,0.12360180914402008,0.20643021166324615,0.05281485617160797,0.29185885190963745,87.16255950927734,2.690958023071289
NEKOBASU,yung lean,"cloud rap, psychedelic hip hop, underground hip hop",0.5739439725875854,0.3855041265487671,4.534843444824219,-7.543096542358398,0.4103413224220276,0.20248018205165863,0.17623074352741241,0.24789950251579285,0.05223434790968895,0.35045570135116577,105.25993347167969,3.246398687362671
Motorola,yung lean,"cloud rap, psychedelic hip hop, underground hip hop",0.5732483267784119,0.41116955876350403,4.619379043579102,-7.408829689025879,0.40568891167640686,0.1979445070028305,0.13901017606258392,0.2406633496284485,0.07818861305713654,0.31077325344085693,107.09001922607422,3.326613187789917
3D SPACESHIP,yung lean,"cloud rap, psychedelic hip hop, underground hip hop",0.5176195502281189,0.3088800609111786,3.9841926097869873,-6.53057861328125,0.39702484011650085,0.16159112751483917,0.14883795380592346,0.225835382938385,0.06370378285646439,0.3020733892917633,91.64274597167969,2.7865309715270996
DOUBLE CHECK,lucki,plugg,0.4943448603153229,0.33842363953590393,4.044554710388184,-6.424217224121094,0.3500968813896179,0.19518470764160156,0.14334644377231598,0.20643098652362823,0.06408943980932236,0.3025701642036438,91.55168914794922,2.8834099769592285
Syrup Talk,lucki,plugg,0.495863676071167,0.30683597922325134,3.8485867977142334,-6.423122406005859,0.35056135058403015,0.16888615489006042,0.15456771850585938,0.23165540397167206,0.04402066767215729,0.3076973557472229,89.88928985595703,2.7192745208740234
Roses,yung lean,"cloud rap, psychedelic hip hop, underground hip hop",0.5130468010902405,0.3631730079650879,4.271848201751709,-7.122589111328125,0.42592161893844604,0.1848859190940857,0.12835606932640076,0.23995688557624817,0.07539243996143341,0.29242366552352905,98.48674774169922,3.062793254852295
Vendetta,yung lean,"cloud rap, psychedelic hip hop, underground hip hop",0.4940659701824188,0.3535643517971039,3.9092624187469482,-5.994222640991211,0.3256039619445801,0.17839708924293518,0.13618364930152893,0.21510794758796692,0.058644846081733704,0.29189422726631165,90.16419982910156,2.7422053813934326
SWING THE SCYTHE,buckshot,['cloud rap'],0.45036762952804565,0.3147166669368744,3.677889347076416,-6.116886138916016,0.40900540351867676,0.144012451171875,0.09646835923194885,0.20942367613315582,0.06856121122837067,0.2632254958152771,84.35755920410156,2.654478073120117
EpaR Featuring Vince Staples,"earl sweatshirt, vince staples","conscious hip hop, hip hop, rap, underground hip hop",0.5059880018234253,0.3221898674964905,4.272994041442871,-6.9922332763671875,0.46844854950904846,0.16880305111408234,0.14250600337982178,0.23290196061134338,0.07791949808597565,0.3029341995716095,96.00288391113281,3.043924570083618
