title,track_id,artists,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,genres,lyrics,tokens,sentiment
Digital,7GcbUQUvw2TIfmDfya8Jgv,IDK,['6aiFCgyKNwF9Rv5TOxnE8E'],0.522,0.59,158.042,0.211,0.0822,0.0,4,0.758,1,-4.717,0.304,1,"dmv rap, underground hip hop",flashback digital dash  run gun mask   stash good boy  bad flashback digital dash  run 12  load chopper tryna clash good boy  bad flashback digital dash  run gun mask   stash good boy  bad flashback digital dash flashback digital dash flashback digital dash flashback digital dash 1 huh  time  die  jail  pretend huh look everybody start kid pure heart turn papa died mama died   sin traumatized freedom jeopardized win whats smile dodging strike dodging  pen  head aint tryna   head  popo grin  year later popo talk flashback digital dash  run gun mask   stash good boy  bad flashback digital dash  run 12  load chopper tryna clash good boy  bad flashback digital dash  run gun mask   stash good boy  bad flashback digital dash flashback digital dash flashback digital dash flashback digital dash   likepost ive sending away feeling inside im feeling defeat im feeling demise running street dodging siren run heat stay iron cop killing thats crime sell weed im  sell weed im  sell weed im  ive sending away feeling inside im feeling defeat im feeling demise running street dodging siren run heat stay iron cop killing thats crime sell weed im  sell weed im  sell weed im  2 fully auto chopper  opper drop brrt thats send  straight lock brrt thats   place use try stop  brrt   place   fall far gun drug 12 come run im  felon im  im  dont tough  stomped   looked target  locked aint going  jail thats dub  year later jail talk flashback digital dash  run gun mask   stash good boy  bad flashback digital dash  run 12  load chopper tryna clash good boy  bad flashback digital dash  run gun mask   stash good boy  bad flashback digital dash flashback digital dash flashback digital dash flashback digital dash post ive sending away feeling inside im feeling defeat im feeling demise running street dodging siren run heat stay iron cop killing thats crime sell weed im  sell weed im  sell weed im  ive sending away feeling inside im feeling defeat im feeling demise running street dodging siren run heat stay iron cop killing thats crime sell weed im  sell weed im  sell weed im  pg,820,0.01850793650793652
10 Homies,1FQscMF28gtu5S4UyYUWsP,"Shakewell, Pouya","['1w7GLktHE8w0aEhhaZ0QKB', '4nXOZlYoAD67hF9aUEncMY']",0.568,0.0722,164.963,0.375,0.0121,0.0,4,0.73,11,-6.849,0.295,0,"dark trap, aesthetic rap, cloud rap, dark trap, miami hip hop, underground hip hop", poppop pop workin weekend nah im workin spaceship woo   lame poppop pop shoot em knot lane switch ayo lil mexico pas gas woo woo ahah big juice tha sip 1 shakewell blue strip basic  rapper hahaha     im real life trapper hahaha real life loonie losin im havin crisis okay  clique strapped lookin isi dodododo thirty deep step dont fight  thirty clip rifle frat good suck eiffel  trapper century born title okay shakewell  time  poppop pop workin weekend im workin spaceship woo   lame poppop pop shoot em knot lane switch 2 shakewell tell brain shorty cause need swallow okay count guap jack guess im feeling rollo okay  eat  count  wake tomorrow  aint  fold partner way  toe  hoe   state okay    band    math cause dont  care  triple trap catch milli year bullet graze ear   chest hahaha  meeting  independent hahaha favorite rapper foofoo   percent  woke  percd hit blunt reset smoke shakewell lost  homies feel blessed im doin man runnin check okay money  buy happiness said aint    dropped neck okay lost  homies feel blessed im doin man runnin check okay money  buy happiness said aint    dropped neck aint   3 pouya rollie wrist  smile face ruger waist  fuckboy place  k feature  rate hit lick race feelin tayk dont pussy  buy real estate swallow dick dont  inside mind cause wont  blown away  bone issue mama told kill miss im dodgin missile  time  pull hop pop trunk quick gucci gang  pump im swervin lane  look im rushin  carpet dont static fully automatic gettin money habit  baddest shooter hella savage  thousand attic irs  yuh shakewell lost  homies feel blessed im doin man runnin check okay money  buy happiness said aint    dropped neck okay lost  homies feel blessed im doin man runnin check okay money  buy happiness said aint    dropped neck aint shakewell lost  homies feel blessed im doin man runnin check money  buy happiness said,820,0.33523809523809517
All Girls Are the Devil,5c9GdfpvxxsThtGBAglOig,Malik,['5jujKJzauvmpXUhyyWo3UD'],0.393,0.217,146.979,0.12,0.1,0.0,4,0.774,4,-12.936,0.323,1,,woman  stop premonition tellin wont end   listen  mistreat  leave  game  wife   bad bad  comin round  shut em echo yea love sound door  em open clothes fallin ground im hoping wont notice aint new   im stroking posing lowkey wishing  stay  public  look way ask relationship dont  time day  use abuse taught play feed soul wont leave  thats  girl 2 luci new dress kind cause bought cause im ballin  wallet dont care happens time im unaware dont care mind howd  girl aint nothin different aint  moving slow  play game   youve radar  wait  road soon walk dont talkin  action man  wan subtraction told  said   coffin feed soul wont leave  thats  girl devil  ,347,-0.060427807486631006
Gimme Love,2hfoyc7ve6xM4ZEiNIiU1B,Joji,['3MZsBdqDrRTJihTHQrO6Dq'],0.631,0.209,126.576,0.0986,0.696,0.0242,3,0.482,5,-6.917,0.0743,1,viral pop,love   love   love   love im gone im gone   love   love   love   love im gone im gone swing   inside playin song  hurt  lie remember time fought   picture clear fade mind youre leavin ash  people dont heal people dont feel people arent real  deal wont   love   love   love   love im gone im gone im gone   love   love im gone   love   love im gone im gone im gone im gone im gone im gone look heart  thing turn black gray  im far gone  love  love caught river record dream  everyones looking  hold   oohsee,281,0.41969696969696973
Turks (with Gunna & ft. Travis Scott),7IMwEtpAiJanqF6vQteZN2,"NAV, Gunna, Travis Scott","['7rkW85dBwwrJtlHRDkJDAC', '2hlmm7s2ICUX0LVIhVFlZQ', '0Y5tJX1MQlPlqiwlOH1tJY']",0.618,0.558,119.1,0.129,0.0808,0.0,4,0.894,7,-4.356,0.379,0,"canadian hip hop, canadian trap, melodic rap, rap, toronto rap, trap, atl hip hop, melodic rap, rap, trap, hip hop, rap, slap house",late bloomer  year scene  rack dont feel nothin came street turned beast invisible set diamond huggin piece book  need eighty  smoke aint keepin peace  razor im east open em surgery  burnin  im lit  lil attitude swap spent twofifty dont  went hood  represent toronto useless dont pole warm boy shot cold thirty round clip unload picked right vogue nav took    vacay aint pickin im turk lil   watch diamond face pullin ask  taste lil  pullin  rack walkin chase drop dead ill hard replace hardly  thirsty water lake brother locked  bond pay 2 gunna future trappin block id  serve cop  kept glock aint bout  grave bout  grave pull ill  quick stop shop  stop im high seven day high seven day lil  icy hoppin wraith hoppin wraith chopper  choppin blade chop aint  money poppin page poppin page trust     flirt skirt turk im puttin work beat frame beat frame wheezy outta sweet movin perc bought birk birthday cake birthday cake line  barber fade barber fade fed ho crpes grape cash told wait billion way billion way split billi gang   nav took    vacay aint pickin im turk lil   watch diamond face pullin ask  taste lil  pullin  rack walkin chase drop dead ill hard replace hardly  thirsty water lake brother locked  bond pay 3 travis scott  time turk  bunch work bring  jet  lot babe   gamechangin swear change hurt  aint game shawty twerk bring rage   trippin stage   em  man  pay alright  havin beef hope pray cactus jack head toe  sure    sure   sure  ah need quick tan come turk g work body need degree fillin nose ski   time hard believe nav took    vacay aint pickin im turk lil   watch diamond face pullin ask  taste lil  pullin  rack walkin chase drop dead ill hard replace hardly  thirsty water,758,-0.09452380952380951
Knock Knock,3uYm4MtU6jUQft2DtGqEoZ,Mac Miller,['4LLpKhyESsyAXpc4laK94U'],0.922,0.364,108.952,0.128,0.0353,0.0,4,0.667,4,-4.857,0.509,0,"hip hop, pittsburgh rap, rap",real good aight dope everybody   thumb air     crazyass kid going knock door em em em     crazyass kid going knock door em em em 1 feel million buck money dont  feel ground built damn buzz people amazed  high school im money im bout tryna     count new kick  cushion whoopie  smile eatn park cookie  good im white boy awesome night johnny carson aint benz honda tryna  money anaconda real real long cross country smoke joint whip cop bust drive stage applaud scream pretty little girl come flock rock beat     crazyass kid going knock door em em em     crazyass kid going knock door em em em   2 rhyme witty dime pretty weed come fly dont  pity silly little hoe milli vanilli   mouth word dont  shh shut ride dick im playing  ball need weed hoe alcohol dont forget im wreckin etiquette hell smellin l lit im flyer pelican young fresh im damn intelligent girl givin brain cause im acting gentleman deeper water michael phelps fixing party  tell friend type lookin right  settin trend job ima  dead president     crazyass kid going knock door em em em     crazyass kid going knock door em em em day  aint gettin high wonder dont   job  buck dont  feel great feel great     crazyass kid going knock door em em em     crazyass kid going knock door,567,0.2727722277722277
we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,girl in red,['3uwAm6vQy7kWPS2bciKWx9'],0.366,0.155,129.959,0.028,0.113,0.181,4,0.566,7,-12.808,0.237,1,"alt z, bedroom pop, indie pop, norwegian indie, pop",roof look pretty love view pre fell love october thats love fall looking star admiring afar girl girl girl girl girl girl girl world world world world girl 2 smoking cigarette roof look pretty love view dont bother looking going way   stay pre fell love october thats love fall looking star admiring afar girl girl girl girl girl girl girl girl girl girl girl girl girl girl girl girl girl girl world world world world girlsee girl,192,0.4375
nineteen,03XjE0nqkkQvktjlRXmsV6,Lil Peep,['2kCcBybjl3SAtIcwdWpUe3'],0.624,0.0954,131.983,0.0472,0.00851,0.000522,4,0.567,11,-7.033,0.289,0,"cloud rap, emo rap, lgbtq+ hip hop",cause face tat boot black dont  school ion everybody think im cool ion codeine pool write rap spend money fool ima   dont lose dont hate dont cause face tat boot black dont  school ion everybody think im cool ion codeine pool write rap spend money fool ima   refrain ima couple million im 21 shawty told thought 21  cause im fuckin young hatin 24 fuckin bum im  drug im club aint smokin dub lot bud  fall love im plug  fall love im   wassup dont lose dont hate dont cause face tat boot black dont  school ion everybody think im cool ion codeine pool write rap spend money fool ima   refrain ima couple million im 21 shawty told thought 21  cause im fuckin young hatin 24 fuckin bum im  drug im club aint smokin dub lot bud  fall love im plug  fall,375,0.049999999999999996
white tee,6KjkgYu4mjsMVYy4aCzyw6,"Lil Peep, Lil Tracy","['2kCcBybjl3SAtIcwdWpUe3', '5g63iWaMJ2UrkZMkCC8dMi']",0.528,0.0727,149.995,0.042,0.293,1e-06,4,0.798,11,-8.908,0.728,1,"cloud rap, emo rap, lgbtq+ hip hop, cloud rap, melodic rap",peep  think love  aint true  50 boxer   shinin white tee easy ill  look easy believe gucci free gucci young punk fuckin young fell love saw club young punk fuckin drunk shawty fell love doin drug yung bruh refrain lil tracy standin club lil mama eyesight eyesight goin home tonight connect wifi wifi yayo table gucci waist yayo switchblade tonight youll safe lil tracy gemstone switchblade pull gemstone club goin  hold hold hella ice wrist thought wrist sprained im driveway   skrrt away skrr skrr skrr lil peep  think love  aint true  50 boxer   shinin white tee easy ill  look easy believe gucci free gucci young punk fuckin young fell love saw club young punk fuckin drunk shawty fell love doin drug yung bruh refrain lil tracy standin club lil mama eyesight eyesight goin home tonight connect wifi wifi yayo table gucci waist yayo,379,0.19753086419753085
No fake love,0DkIXvO8uWFMukesRn04il,susZach,['2AM48talptDlKblhKbfTNL'],0.293,0.151,169.942,0.393,0.521,7.22e-06,4,0.79,4,-8.428,0.507,1,,world    lonely smoking weed everyday tryna stay high dont think yall face tinder wack pay pussy people mind fucked aim pussy  connects feeling crazy everythings shitty lately hoping better time  lookin praying everyday praying  better ima  askin ima wait day lonely friend love dont fake love cuz ive  friend girl feeling lonely world    lonely smoking weed everyday tryna stay high dont think yall face tinder wack pay pussy people mind fucked aim pussy  connects feeling crazy everythings shitty lately hoping better time  lookin praying everyday praying  better ima  askin ima wait day lonely friend love dont fake love,266,-0.03629629629629628
Myron,56uXDJRCuoS7abX3SkzHKQ,Lil Uzi Vert,['4O15NlyKLIASxsJ0PrXPfz'],0.654,0.214,155.047,0.298,0.055,0.0,4,0.771,8,-6.976,0.573,0,"melodic rap, philly rap, rap",killed supah mario beat      pew stay fresh clean think wear supreme hypebeast hypebeast blue green dont excite excite   ho wifey wifey jeremy scott toe act shockey       pull extra icy im playin hockey bling blaow  think im weird dont  1 cause  mom auntie girl  mom dime piece auntie  miss connie miss connie  glock  clyde  named bonnie    think dandy lyin  lie lil  throw  swear ho tryin tryin  sound dyin god vvs need vest anemic diamond swear  talk  hidin woo boy dick ho ridin diamond neck wet look poseidon wet water stand money height turn 9 10  bitin grrata im  fightin grrata vibin vibin  myron  stay fresh clean think wear supreme hypebeast hypebeast blue green dont excite excite green   ho wifey wifey jeremy scott toe act shockey       pull extra icy im playin hockey hockey bling blaow  think im weird dont    2 ninety thousand thats light band ninety thousand thats light tell real spill tell real fucked light  banana clip wont slip peel  slip slip slip  miss iceberg neck sink ship outer space swag regular titanic whip hood im regular brung stick  think  im rich  huh come   sex rich  said thought aint  dismissed  byebye young  aint changed lil uzi 6  dont think nah drop song  theyll  excited homie girl girl  girl scammin swipin ran band ran band ran band ran band  head bit migraine migraine  head bit migraine migraine  head bit migraine migraine  head bit migraine   refrain addicted road addicted stress addicted foreigns addicted rack rack man boy doin swear fact fact man girl  brain  bit migraine  bit migraine  bit migraine  bit migraine  bit migraine pack  migrate  goin   hit dont run damn police blue hunnids wash face stay fresh clean think wear supreme hypebeast hypebeast blue green dont excite excite   ho wifey wifey jeremy scott toe act shockey       pull extra icy im playin hockey hockey bling blaow,937,0.0006097560975609782
Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,Juice WRLD,['4MCBfE4596Uoi2O4DtmEMz'],0.67,0.114,130.032,0.311,0.186,0.0,4,0.736,10,-6.702,0.845,1,"chicago rap, melodic rap, rap",bih 50 50 brr bih brr gun em gun em god huh god ya dig ya dig hoo 999 999 hoo im town party goin dig goin hoo shoot em baow 50 round dig 50 round hoo run town ballin hard outta bound dig swish  money damn forgot count cash cash cash dig hoo look bank account dig hoo look cash  hoo dig  cash im dig hoo dash im dig hoo look bank account dig look cash  dig skrrt  cash im look cashin dig skrr 1 walk im faded im faded mm million called mom told  mama son famous everybody playlist   armed dangerous hell pop stranger sippin lean clich   red purple cup  shall pick today sippin hard gun need bodyguard 2 aim body   body  im swingin im ecstasy thats molly park iron hoohoo thats tony stark pourin   ounce soda pop im oc threegram wood  og huh  bm dick moby gun  flash adobe pay cash owe huh need matter fact im rich  woo damn rich  huh broke  hoo    hoo    im town party goin dig goin hoo shoot em baow 50 round dig 50 round hoo run town ballin hard bound dig swish  money damn forgot count cash cash cash dig hoo look bank account dig hoo look cash  hoo dig  cash im hoo dash im dig hoo look bank account dig look cash  dig skrrt  cash im,598,-0.09423076923076922
Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,"Kanye West, PARTYNEXTDOOR","['5K4W6rqBFWDnAN6FQUkS6x', '2HPaUgqeutzr3jx5a9WyDV']",0.545,0.329,83.378,0.0288,0.0969,0.0,4,0.573,7,-4.247,0.297,0,"chicago rap, hip hop, rap, r&b, rap, toronto rap, urban contemporary",wear starry crown 1 partynextdoor someday someday someday lay god sunday hold hold someday somedays remembered sunday backway way way burning mhmmhm somedays im going tell everybody somedays hit red dot everybody somedays heatstroke everyday im livin high im smokin marijuana everyday im livin high  kid cudi ive tryin  love  try  2 kanye west someday set someday   dont bet pack fentanyl  think wrote rope someday dramall gone theyll play song   shine talk drank wine year ahead way  im      halftruths naked mind caught space time mind maybe someday kid cudi ive tryin  love  try    070 shake child       hurt anymore feel kind free  kid   hand stove   bleed  hurt anymore feel kind free  kid   hand stove   bleed  hurt anymore feel kind free  kid   hand stove   bleed  hurt anymore feel kind free  kid   hand stove  ,408,0.3075
WISH FEAT. KIDDO MARV,0shSP8DgseLewHgAiMC4UL,"Denzel Curry, Kiddo Marv","['6fxyWrfmjcbj5d12gXeiNV', '6HOYSQk7Npiuuy5KDdJQ3o']",0.766,0.425,95.017,0.0736,0.234,0.0,4,0.655,5,-6.746,0.622,0,"dark trap, drill, hip hop, miami hip hop, rap, underground hip hop, miami hip hop",wish command  heating  feel magic fnz damn denzel curry dread  gold mouth woaday hoe flock stop woaday  glock nah glock 40 hand knot hand bop woaday bust open  designer thats reason     thats probably wine dine ima  home usin oneliners 1 denzel curry pull navigator truck excursion bad  half persian dont car car service  chain  feel nervous wait meant  chick nicaragua  team cause makin dollar hit stroke  wet aqua bop  hit ill drop hang bros cause  blood thicker miss vros pour liquor dont smoke dont swisher cause dont war south florida  miamidade motherfuckin  im polod sock nutsack rip x rip tree ima dawg g denzel curry dread  gold mouth woaday hoe flock stop woaday  glock nah glock 40 hand knot hand  woaday bust open  designer thats reason     thats probably wine dine ima  home usin oneliners  denzel curry liveget ticket low 92you   2 kiddo marv bossed came long way bein manager glocks stick clip lookin bananana  pay pussy  aint gettin nuhuh    press ho button city ridin vert uzi lil uzi vert  week  funeral time  church runnin rapper check splurge step scene fresh clean detergent quick cut pussy  surgeon ima need perky cause young  hurtin slidin taliban turban pull black suburban cause aint die slide  mike thriller pay young   whacked  figure rip flip cut   box ship yup denzel curry dread  gold mouth woaday hoe flock stop woaday  glock nah glock 40 hand knot hand  woaday bust open  designer thats reason     thats probably wine dine ima  home usin oneliners wish command  feel magic wish command  feel,712,0.028703703703703724
Wish - Trippie Mix,6IpvkngH89cA3hhPC84Leg,"Diplo, Trippie Redd","['5fMUXHkw8R8eOP2RNVYEZX', '6Xgp2XMz1fhVYe7i6yNAax']",0.832,0.107,93.991,0.0717,0.232,0.0,4,0.561,9,-7.661,0.666,1,"edm, electro house, moombahton, pop dance, tropical house, melodic rap, rap",wishin wishin maybe wish wish maybe world world maybe rain pours  wishin dont  wish anymore  wishin dont  wish anymore dont  wish anymore post trippie redd wish youd  face   mia  blow brain id kurt cobain  feel face  feel face  feel face  feel face trippie redd wish   chill cause lord   real price  youd kill man big brack  deal man big slatt  deal draco big dragon  hell  save man save cause need help trippie redd  wishin  wishin  wishin oohoh ohah trippie redd  wishin wishin maybe wish wish maybe world world maybe rain pours  wishin dont  wish anymore  wishin dont  wish anymore dont  wish anymore post trippie redd wish youd  face   mia  blow brain id kurt cobain  feel face  feel face  feel face  feel facesee,318,0.05
The Spins,51pshtuYkgUQnt5huMPbKL,Mac Miller,['4LLpKhyESsyAXpc4laK94U'],0.766,0.0785,127.007,0.0377,0.0135,0.0,4,0.794,9,-3.894,0.55,0,"hip hop, pittsburgh rap, rap",hi welcome  kid um follow dream 1 mac miller  mansion jacuzzi theater watch movie couple whip lot fancy thing kid  goony  future crystal ball mirror mirror hangin wall flyest white boy girlfriend screenin  bubblin fuckin cuddlin  dont tell love aint sayin nothin  probably tell bluffin cause kiss mouth gave head concussion blushin red rush  bed interrogate fed  love rockstar rockstar smoke weed asks   empire sun mac miller  drawer haha honey need round haha   motherfuckin kid honey need round  money    pittsburgh jerm 2 mac miller hoe drunk come smoke blunt  em home  said  ride  inside  higher hit vaporizer dope dick ill supplier grabbin sheet hittin note mariah obsessed undress freak ecstasy im textin doin  week  week empire sun mac miller hear im knee praying  faith weak       chance  amends stand til end million time trillion   empire sun mac miller wanted inform yall honey need round im drunk   dope kid whats honey need round im high yes sir   graduated graduated high school haha mac miller empire sun homie dont mad girl love dont cut   fault im doin haha girl love love feel  smile uhhuh  dont,522,0.04333333333333334
Top,55Q46o5adtSobImSKrrlqW,Lil Uzi Vert,['4O15NlyKLIASxsJ0PrXPfz'],0.762,0.18,120.039,0.216,0.193,0.0,4,0.776,0,-4.356,0.678,1,"melodic rap, philly rap, rap", drop  swerve coupe counting band walk cool thousand dollar shoe hunnid jewel groupie  drop  swerve coupe counting band  drop  swerve coupe counting band  drop  swerve coupe counting band 1 walk cool thousand dollar shoe     fucked monday sister tuesday thing squad wutang im going knuck buck lil  try  hit  truck leave lil  stuck brittany turned slut brittany turned slut brittany turned slut hit    butt  pussy leave gut  drop  swerve coupe counting band walk cool thousand dollar shoe hunnid jewel groupie  drop  swerve coupe counting band  drop  swerve coupe counting band 2  fear god saint laurent boot feel im dro car aint roof kind cute blow flute diamond drippin wet wipe jewel  wife fool time mood swing spent 50 ring brought  ring remember aint remember said im dusty look hoe ugly man aint money smokin dope skeme smokin clove brother whippin stove jump crowd  fucked  row    drop  swerve coupe counting band walk cool thousand dollar shoe hunnid jewel groupie  drop  swerve coupe counting band  drop  swerve coupe counting band cannon cannon went crazy treez treez hotel party,700,-0.04615384615384618
WGAF,2MQwDWxdzzYQ512DyyZF4e,Yxngxr1,['2jwRHcdgkRhelYEMqndDKe'],0.461,0.0835,140.109,0.0645,0.603,0.0,4,0.924,6,-11.391,0.762,1,sad rap,round window wear dicky high tshirt tucked nike sock chuck  looking sus  toxic people    tryna bring wont  think fucked play cool  time  played fool play cool  im  easy  driving crazy change daily play cool  time  played fool 2 shoe grass stain wanted    day went bra stayed stay beat tune  im acting british pick barmaid catch running running running mixed messed thing catch running running running waste time   play cool  time  played fool play cool  im  easy  driving crazy change daily play cool  time,256,0.0487719298245614
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,['6l3HvQ5sa6mXTsMTB19rO5'],0.364,0.271,123.984,0.276,0.149,0.0,4,0.837,8,-11.713,0.463,1,"conscious hip hop, hip hop, north carolina hip hop, rap",im countin bullet im loadin clip im writin  im makin list im checkin twice im gettin em hit real  dyin fake  lit game balance im  bentley dirty sneaker dirty thats dick 1 im bag hard  snort powder   sip  hit blunt im liable trip aint poppin pill wish roll fiend love em death mil rich good bread  broke good  class   sit thats  mission thats  quit lebron   chip  rollie right  wrist watch came drizzy gave gift  rap game prayin id dis act  legend  coexist id  beef  nothin smoke rapper legit wont clout wont fame wont cause aint sellin wont sell latest lil sneaker wont cause  slid lane  grows destined change love lil  im glad came hope scrape  dollar hope  money wont erase pain ogs im thankin watchin pavin ground copied cadence mirrored style studied great im greatest right feel aint choice aint promo   noise year different set intention promise slap hate voice   likerefrain  countin im countin bullet im loadin clip im writin  im makin list im checkin twice im gettin em hit real  dyin fake  lit game balance im  bentley dirty sneaker dirty thats dick poured somethin cup ive wantin somethin feel promise  lettin money palm dont  real foot neck em stuck ima  em somethin feel aint bout squad dont  pistol hand dont  real 2 im dead middle  generation im little bro big bro left lab young 21 savage im bout  meet jigga lunch long talk young  kodak reminded young  ville straight project fakin honest wish guidance real   cycle jail spending birthday inside cell coming long bloodline trauma raised mama lord heal hurting sister   killing brother poisoned  distorted selfimage set fail ima  sure real prevail  poured somethin cup ive wantin somethin feel promise  lettin money palm dont  real foot neck em stuck ima  em somethin feel aint bout squad dont  pistol hand dont  real money palm dont  real pistol hand dont ,797,0.050367274569402244
Potato Salad,1jzIJcHCXneHw7ojC6LXiF,"Tyler, The Creator, A$AP Rocky","['4V8LLVI7PbaPR0K2TGSxFF', '13ubrt8QOOCPljQ2FL1Kca']",0.612,0.213,168.197,0.424,0.308,0.0,4,0.538,2,-6.02,0.684,1,"hip hop, rap, east coast hip hop, hip hop, rap, trap",start  listen shout harlem man shout aap rocky man awge building man whats good potato salad listen 1 tyler creator   cold shoulder speak  high waist alligator belt belt holster aint playing game lil   pas controller  pressed x triangle nose pause life square try mess o cut crap barber cause  beef closeted gay father   dollar  em ben baller exchange chain thats shiny  water  pain neck heavy whipped cream whip clean white whip cream cop boy joystick whip cream cop crib space big jean yall sleeping explain dream im alien laser gun big beam married money green dont sip lean ride  rocket yao ming yall  weak thought goofy mouse double c luggage  comme blouse yall cop kush  cop house  em leo dicaps cole sprouses  rocky aap golf boy  paris 2 aap rocky clothes cop piece couple thots hoe diva van look sneaker flipped couple pack basedgod speaker bass speaker field baseball play ball face wall police come dont rock chanel rock channel aint purse satchel bless nah aint sneeze  steam smoke bet match bullet  barrel hollow dont clip  nip cat food dude die  statue bad attitude aint purse satchel   money bracket think state rapping freshman class super senior mumblin ramblin mumblin rappin mumble rapping  hard  actual talent  hard  actual challenge im shabazz palace  acid hit elaborate rap lab labyrinth word kodaks black lazarus calldrops album skit   3 tyler creator ayo im channel watch im ammo glock weird   suit sandal sock stop based neck boy  think hate glass home way im handling rock cast  stone thought real grunge  aint flannel  im picking strum  bum  wish   garden shed sleeping man arm dead im wild  boy farmer bred born aint animal corn hahaha,676,-0.07274509803921568
Patty Cake,0bXFIF7iL17TYLyx8JHziM,Kodak Black,['46SHBwWsqBkxI7EeeBEQG7'],0.77,0.0645,152.094,0.19,0.0252,0.0,4,0.806,1,-6.464,0.406,0,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino",beat right nice little beat im sippin belaire im fixing paint picture fixing paint lil picture called new belaire white wine white  im sippin belaire chick belair whip germany im cooler im sippin belaire chick belair whip germany im cooler clap  patty cake clap  patty cake im swaggin flavor sauce  ragu love  girl pussy bald  caillou clap  patty cake 1 dat way im bout grab wraith im bout grab key im bout snatch  girl skeet face feelin today fantastic day im gettin tired rollie think patek philippe  win lose cause wont accept defeat everybody sauce  recipe im sippin belaire cause  feel im ecstasy love  come home rubbin foot  chair hate street rim taller son im bout drop   think  band way hit drum im sippin belaire chick belair whip germany im cooler im sippin belaire chick belair whip germany im cooler clap  patty cake clap  patty cake im swaggin flavor sauce  ragu love  girl pussy bald  caillou clap  patty cake 2 chain vvs im booted pill cv im  girl stain drawer money  hit fuckin power ball sippin champagne whip dana dane time lame im flyer plane im ridin train love  brain shootin  closed aint sniper gang held gone bought audemars piguet love love brother connect    vet  bracelet neck  lil kodak love flex momma jects  kodak black liveget ticket low 65you   im sippin belaire chick belair whip germany im cooler im sippin belaire chick belair whip germany im cooler clap  patty cake clap  patty cake im swaggin flavor sauce  ragu love  girl pussy bald,648,0.1768657067570111
Myself,05nbZ1xxVNwUTcGwLbp7CN,NAV,['7rkW85dBwwrJtlHRDkJDAC'],0.398,0.115,80.032,0.171,0.648,1.26e-06,4,0.749,5,-7.44,0.0859,0,"canadian hip hop, canadian trap, melodic rap, rap, toronto rap, trap",im sober dont pour  ill feel roll dope ill feel ima break  box try  lot enemy  friend pour  ill feel roll dope ill feel 1 sober hour im rollin bean drug  confidence im sayin mean xannies help slow lean help speed ballin im ballin wont hit beat callin callin speed dial drivin rex look face dont  smile grimy 6 trust ill   sprite extra dark dawg dog pound  im comeup comedown  doin good start hate thats  dont  mad  stay  toe drivin city thats roll drivin im swervin end im sober dont pour  ill feel roll dope ill feel ima break  box try  lot enemy  friend pour  ill feel roll dope ill feel 2 remember bein kid teacher told wouldnt diamond pinky look water  seasick  help dont approach free  remix gave  dont pussy  money power respect cause dont need drivin west popped bean im speedin  people 6 dissed reason sendin shot sendin shot road   takin l takin l   asked bean  number phone  delete drivin im swervin end im sober dont pour  ill feel roll dope ill feel ima break  box try  lot enemy  friend pour  ill feel roll dope ill feel   drivin im swervin end pour  ill feel ima break  box try  pour  ill feel roll dope ill feel,635,-0.28922413793103446
