title,track_id,artists,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,genres,lyrics,tokens,sentiment
Sodium,282k3FBavSZ9RJ65rm9CP4,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.317,0.0746,121.001,0.0703,0.199,0.874,4,0.756,4,-15.468,0.108,0,"cloud rap, dark trap",wig  come right dyed black shirt  mt vernon cause thats wherebecause thats actually live hometown bout  way way dont sweat way   end day cashed bed lay look ceiling fade away stressin checkin blessin  hear  im gone day sure afford  lookin bum think im holdin penny pull mortgage spend minute   mad  blame   money aint gettin boy man life aint livin time  chiller  forgive mind rhythm dont  loose neck cotton chain bangin body soundin dog walkin razor barkin scotch light blind em switch restyle em aint  goin   howell old bone new flow  flickin ash clothes 1800deadboy need hit phone estate sell ogles finger  hopeful aint  goin,293,0.01898518148518149
BlackMold,4Ms7qEi3z5qNjpD41OWHhf,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.514,0.0982,139.614,0.0523,0.0203,0.000109,3,0.559,1,-8.78,0.0911,1,"cloud rap, dark trap",talking    buck   love yappin bout stackin   brother curtain time  worthless welcome little slice journey cold life  burden burn burn urn sprinkle earth blend dirt biodegradable fable myth stick pale witch cold razor trying best adapt fact youre stuck trap  turning   home youll   woke bone black mold grow terrible shut talking    buck   love yappin bout stackin      dont    time  team duck  dont    time  team duck ,235,-0.06946969696969697
TheGrandestNothing,2tq2NRqv60vzewfRMq5qDK,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.357,0.103,94.773,0.305,0.5,3.31e-06,4,0.867,10,-15.767,0.26,0,"cloud rap, dark trap",use  rip  throw hit ground seeing trust reaction learn walk  ending traffic light staring wall cut light  home 2 im shaking im panicking second ill    cause threw em away evidence ready reckoning smoking questioning juice mason   im checking look burial  resemblance  ive ended hope pay attention shoo em away dungeon vanish deadboy    stop yelling underground making pop song  lie   going  day  wrong  living contrast trying compare wish  feel okay skin wear hook stomp shoe aint drop   drop floor im hot mess scream night stop  time im  drop stomp shoe aint drop   drop floor im hot mess scream night stop  time im  drop stomp shoe aint drop   drop floor im hot mess scream night stop  time,291,0.05576923076923076
Cold Turkey,6lrOr4Ks7b6B03n0YmKjND,"$uicideboy$, Pouya","['1VPmR4DJC1PlOtd0IADAO0', '4nXOZlYoAD67hF9aUEncMY']",0.67,0.0416,106.016,0.192,0.0216,0.0,4,0.891,1,-6.367,0.18,1,"cloud rap, dark trap, new orleans rap, underground hip hop, aesthetic rap, cloud rap, dark trap, miami hip hop, underground hip hop",way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep 1 lick loth  night im drinkin syrup  sleep hitech promethazine real cheap codeine loc creep smoked riding uzi jeep buffet boy uicide  druggin look face im numb  feel  stealing place yall bugging wont     bussing cousin stay busting cutting motherfucker nutting puffing   jumping public dont bring old cause ill start dumping blood start gushing fronting 5150 dont bluffing future hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep 2 ruby da cherry hit blunt pop couple oxy cherry flavor coke flip cap im sloppy copycat motherfucker looking pussy boy squad wont stop  snake wrong habitat   swallow rat  cold polar icecap black cadillac killing  gaudy pack shawty smokin blast toting bag  mask pop tag motherfucking body bag oddy problem prolly  going solve em spotted cat looking fallen angel halo boy funeral   captain insaneoh  enemy ho   future hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep hot boy bg bg thats way young eat eat drinkin syrup  sleep  sleep drinkin syrup  sleep  sleep 3 pouya yuh yuh exuberant lunatic hop whip young thug  dated momma sedated father threw body ocean sank  aint lil scrappy  dont problem  cadillac mac cocked  ready bang brain triple set dont disrespect hunnid hoe ep  shell  ninja turtle   damn body hurdle dont hurt lil   lil homie murk girl,653,-0.007471264367816098
FACE,5bknBRjKJZ643DAN2w8Yoy,BROCKHAMPTON,['1Bl6wpkWCQ4KVgnASpvzzA'],0.702,0.0788,119.887,0.12,0.591,0.000538,4,0.945,11,-5.016,0.678,0,"boy band, rap",love tell youre waiting hold tell youre waiting huh love hold   lie tell youre waiting huh waiting 1 dom mclennon feel  past   future passing  passing time dont  ride tidal wave crash thigh dream believe   pristine im keeping clean title mean boxin  broke seam dont  fiend  im working   need plan im taking stand care 2 matt champion whats motive  cause dont trust  lately twist turn moving serpent new time coming virgin  outta head cause lately im better dead  respect   wearing love medallion cause  thousand men ya  menage riding shotgun slap bun melting fading star sun 85 90 bust gun  sent neck wood change  state     joba tell youre waiting love tell youre waiting hold tell youre waiting huh love hold   lie tell youre waiting huh waiting 3 ameer vann need friend need friend need home need home love come love coming  feel   warm bed butterfly head sunrise set dont love  white lie hold hidden truth  leaving need true  love love lost youre gone im left  bed wake cold sweat 4 joba  dont  wait long main  main main  mmmm  dont  mmmm  dont  mmmm spent day lonesome      bed cold indented  sleep tell youre waiting tell im waiting joba tell youre waiting love tell youre waiting hold tell youre waiting huh love hold   lie tell,606,0.18355823863636367
SWEET,2DgMxFMUQRPthW4ROhjen1,BROCKHAMPTON,['1Bl6wpkWCQ4KVgnASpvzzA'],0.628,0.116,92.107,0.223,0.543,0.0,4,0.718,10,-6.007,0.722,0,"boy band, rap",skin bone love husky feel wolf howl pack feel  im scatterbrained man better offer clon tejas apartment racist doin weird thisll  biopic haha rile em hit zaxbys  wing ting yum real quick   stacking ceiling uhoh mean aint working mean aint finding im trying mean aint cash little bit mean mean shouldnt pocket big fat chick uhhuh shouldnt mama  paying house guess shouldnt real bigass ego shouldnt girl flockin seagull eh kevin abstract twistin licorice think need  handle ice boy wrist fixed dont need  tryna  twistin licorice think need  handle ice boy wrist fixed dont need  tryna  2 dom mclennon original licksplickety higher yosemite breaking mold mentally master limiting making em  ugh worshipping force viciously watching floor tip temple authenticity   im offer crossed empathy forgot ill remind em hostility hotdiggity damn  running scam cover clam   glance running clinic scan aint  claimin man pertaining plan  architect lap ufo havent started   figure exactly park moses pen line ocean  thats deep   3 merlyn wood dont  stupid aint way  pronounced dont  cupid  hoe right poolside houston tryna  beyonc  adoption brokeass rich suburb civilian shot 3rd ward fountain merlyn wood man   woodland need honeybutter vodka sprite im whataburger kid  need honeybutter pouring lean sprite kevin abstract twistin licorice think need  handle ice boy wrist fixed dont need  tryna  twistin licorice think need  handle ice boy wrist fixed dont need  tryna  4 ameer vann record im clean come im godzilla  run 37th  run blood undercovers duck come moved couple month ima pop star  thug  write rap  bus im  seat shifting gear 5 joba funny thing change   dollar  led hollywood living ramen change   dollar dinner  pay growing teacher told better  grade finish high school high school better  degree cause dogeatdog world  live street flashback walkman minivan listening nsync saw  cd bleach blond tip wanted jt wanted big thing fulfill dream    doomed getgo people assume cause theyll   called whats set stone  ebb flow thats  kevin abstract twistin licorice think need  handle ice boy wrist fixed dont need  tryna  twistin licorice think need  handle ice boy wrist fixed dont need  tryna  twistin licorice think need  handle ice boy wrist fixed dont need  tryna  twistin licorice think need  handle ice boy wrist,956,0.03996780996780997
beamer boy,7hf89cT5FEmLV5E9fjrjG7,"Lil Peep, Nedarb","['2kCcBybjl3SAtIcwdWpUe3', '1VKWlHqcqwmU9CGKkJR09R']",0.732,0.227,123.994,0.104,0.0509,1.77e-05,4,0.743,8,-4.511,0.339,1,"cloud rap, emo rap, lgbtq+ hip hop, cloud rap",goin lately bro everybody actin real different aint   talkin month ago everybody hittin phone im mothafuckin schema boy im dreamer boy love girl dont  fuckin need boy  im beamer boy need beamer boy z3 thats twoseater boy okay pull cash shawty pas   spaz okay hit shawty   death note list im zone  phone im im ya girl  real  hit jgrxxn whats deal bruh  doin  im pro hoe dough dont hear real drug talk  feel im  comin home   bros  bros feel im  thats told ima  ya  chosen im mothafuckin schema boy im dreamer boy love girl dont  fuckin need boy  im beamer boy need beamer boy z3 thats twoseater boy okay pull cash shawty pas   spaz okay hit shawty   death note list im zone  phone im im ya girl  real  hit jgrxxn whats deal bruh  doin  im pro hoe dough dont hear real drug talk  feel im  comin home   bros  bros feel im  thats told ima  ya ,463,0.2916666666666667
white wine,3Q241k92c1I5sqKbdw6Ujb,"Lil Peep, Lil Tracy","['2kCcBybjl3SAtIcwdWpUe3', '5g63iWaMJ2UrkZMkCC8dMi']",0.574,0.107,135.051,0.0528,0.0129,1.46e-05,4,0.677,6,-8.136,0.497,1,"cloud rap, emo rap, lgbtq+ hip hop, cloud rap, melodic rap", til pretty young white hopped ride skrrt took crib die  night lil tracy blow man  die   til pretty young white peep hopped ride gothboiclique took crib  die  night gothboiclique damn lil peep lil tracy     til pretty young white hopped ride took crib  die die  night wake im  fuckin high im  high lord lord wake wine wine  pour  cup pour  cup lord lord wake wine wine wine wine  pour  cup ayo lil tracy dropped pill champagne said love dont   real  hoppin uber friday gothic gucci bag bag cocaine ive living life way  werent friend myspace lord lord die ima  maserati  life inside  sip wine tell ride cause  castle wont  inside im magical wrist glisten dream skinny   countin guap lil peep     lil peep   til pretty young white hopped ride took crib  die  night wake im  fuckin high lord lord wake wine wine  pour  cup lord lord wake,415,0.1711111111111111
GOLD,7HRv1sYuwgoea1m0JRvChV,BROCKHAMPTON,['1Bl6wpkWCQ4KVgnASpvzzA'],0.647,0.205,110.036,0.166,0.0716,0.000466,4,0.808,11,-6.947,0.29,0,"boy band, rap",neck fly jet boy better treat respect  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect 1 matt champion rock boat oneeyed pirate rick james  glitter eyelid 2 85 highway  world  little misguided spotlight  spotlight trust   wrong light high scream hit long pipe ice cream hit sweet thang thing speaking  shot point ruth man ima win mood swing im realest mood swing bipolar confidence wake feel guess im guess im kevin abstract  gold chain neck fly jet boy better treat respect  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect 2 ameer vann merlyn wood grab life horn whip lambo black red whip sambo clip long itll  mambo watch tango dutty wine grind dick  time shawty love long grip  slip inside slip n slide electric eel electric slide feel booty  slow clap rudy feel booty grab camcorder  movie bring friend gold chain swingin shoot   kevin abstract merlyn wood  gold chain neck fly jet boy better treat respect  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect damn 3 merlyn wood damn im frosty blood diamond im flossing navy camo im drowning dont  cost turmoil saudi handmedowns  fit party  fit punani  fit damn timetravelin hondaswervin thats merlyn thats merlyn thats merlyn thats merlyn damn timetravelin hondaswervin book learnin thats merlyn thats merlyn thats merlyn 4 dom mclennon swan dive 405 land  el toro high precision cut zoro knife boy spit  409 thats clean  play team rock pink wednesday green look good envy mix white cause salty stainless im platinum painless skip beat im peewee herman hand sermon wheel turnin im efficient  feel ratatouille im whipping cheddar  better  thickest sweater cause ice   change  life cause  flight kevin abstract  gold chain neck fly jet boy better treat respect  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect  gold chain  gold chain neck fly jet boy better treat respect joba jabari manwa  gold chain fly fly jet  gold chain fly fly jet  gold chain said  gold chain  gold chain  gold chain  gold chain said  said   gold chain gold chain  gold chain said  ,958,0.45094262295081966
Lamar Avenue,1rfSj8uWQy2RNrvzBZdpDu,$uicideboy$,['1VPmR4DJC1PlOtd0IADAO0'],0.851,0.092,111.021,0.158,0.0013,0.0015,4,0.932,7,-6.14,0.518,1,"cloud rap, dark trap, new orleans rap, underground hip hop",north memphis north memphis  north memphis north memphis carecrow north memphis  carecrow north memphis carecrow north memphis carecrow 1 lil murder watchin sand hourglass sharpen blade circumstance sit dark im trance takin blade pas wrist blood drip dont stop blood start clotmy heartbeat stopped urge kill pop pill robbin pharmacy mentally illah killer blood river  vision blackeyed midnight dweller bring prey  cellar body serial killer scared pigga point 45 blow temple 2 james pleen cover  world ash laugh fact destroyed past fade black rack stained  pain gold chain blast range ask lack fame famous cause lack pain numb stain numb game numb rack gave       material world usin diamond pearl mean selfworth  die tomorrow return earth uicidal  birth,261,-0.2162878787878788
